phylum	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
Actinobacteria	878000	878000	878000	878000	0	0	0	0	0	0	35.539437594264	52.9552361175682	28.0019747597493	19.1766113811562	27.76798729593	0
Bacteroidetes	1492000	1492000	1492000	1492000	22517.1488237191	14598.5617132617	16437.5206645726	112.399109131403	59.2181594083813	60.2448979591837	4919.72181093884	3908.6020715503	4846.3756351614	76222.0442576638	32014.2159140778	87200.008697611
Cyanobacteria	0	0	0	0	33.0098009679177	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	5564110	5564110	5564110	5564110	298684.437193249	281231.288111658	277526.15565076	1342.76792301856	1363.24401295975	1482.02447417846	1279185.18710535	1277567.42337695	1336498.88862765	935621.872182018	890296.286472876	679390.229123908
Fusobacteria	749000	749000	749000	749000	14347.4315303275	10578.7927256502	14332.5368750687	61.2173719376392	46.1700903861956	48.1959183673469	11557.538438424	12732.0411436308	11762.1149527495	24052.4369642502	17492.7784127646	46473.014638363
Proteobacteria	1212900	1212900	1212900	1212900	131350.610015911	167113.370322738	125128.126246623	736.615595912399	974.36773724567	855.477565780115	71626.965380602	64760.9664725136	64768.6124621639	481425.995017761	587643.883928672	408520.469398027
Verrucomicrobia	97000	97000	97000	97000	1221.36263581295	359.987126700139	3034.66056296563	0	0	14.057143714898	696.047827113581	150.011699211076	90.0063474420514	1305.47496703488	902.067284230528	3014.2781421364
