genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Acinetobacter	0	0	0	0	0	2	1	2	3	1	0	2	16	1	1	0	0	0	1	0	0	0	0	767	823	618	364	566	310	118	201	57	681	446	419
Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	4	4	4	2	1	2	0	2	1	1
Actinotalea	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	47	18	102	51	128	36	190	38	13	12	117
Acutalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	1	0	0	1	2	1	0
Aeromonas	0	0	0	0	2	5	2	1	3	2	1	2	1	5	3	0	1	2	0	0	1	0	0	1	0	0	1	1	0	0	1	0	2	1	0
Alkalicoccobacillus	0	0	0	0	3	10	2	15	7	6	5	5	25	4	7	5	0	0	1	1	2	2	2	2	1	3	2	3	5	2	4	2	2	3	5
Alkalihalobacillus	0	0	0	0	232	276	287	287	406	350	200	326	527	283	508	70	50	103	59	91	92	107	76	144	115	109	140	194	208	185	237	68	176	106	224
Alkalihalophilus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	17	21	29	40	29	31	25	13	47	16	26
Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	3	2	0	3	1	1	3	2	1
Alysiella	0	0	0	0	2	4	0	0	2	2	0	2	3	1	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	0	0	0	2	2	1	0	0	1	1	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	1	2
Aphanizomenon	0	0	0	0	1	0	0	2	0	2	1	2	1	2	1	2	0	0	0	0	0	0	0	1	1	0	0	3	0	0	3	0	1	1	1
Atlantibacter	0	0	0	0	2	2	2	15	2	6	1	6	7	3	4	0	0	2	6	4	1	2	0	1	0	0	7	4	1	1	2	1	2	1	2
Bacillus	1740000	1740000	1740000	1740000	16472	18733	19609	20289	28865	27901	14131	23540	26800	20463	36660	4171	3773	7732	3875	4942	5200	6644	5805	15479	14798	12219	17729	24611	27474	19357	31411	10421	22408	14401	24456
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	3	4	2	2	1	4	3	2	1	0
Brucella	0	0	0	0	0	0	0	0	2	0	1	0	11	0	0	0	0	0	0	0	0	0	0	14	25	22	9	14	6	1	1	0	1	3	2
Budvicia	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0
Burkholderia	0	0	0	0	3	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	7	5	0	5	3	6	4	5	5	4	0	3
Candidatus Arthromitus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	16	1	1	3	0	3	0	0	0	3	1	1
Chroococcidiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	4	2	2	3	3	0	3	2	1
Citrobacter	0	0	0	0	1943	2097	2314	7113	6156	7539	5149	7123	5054	3893	5580	497	442	1264	1562	1378	1302	1275	1352	2018	1620	979	6608	5757	4327	5598	4870	3533	4077	2474	4226
Cohnella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	4	8	11	8	11	6	0	6	6	7
Corallincola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	4	3	5	5	7	9	2	4
Corynebacterium	0	0	0	0	0	1	2	2	1	2	0	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
